类别,名称,经度,纬度,地址,类型,省,市,区县
银行,青岛银行(淄博高新支行),118.036013,36.837675,张店区高新区中润大道39号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,齐商银行(鲁中支行营业室),118.045369,36.801369,新村西路142号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国工商银行(南京路支行),118.015295,36.830016,南京路与联通路交叉口淄博住房公积金中心办公大楼东侧,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,中国建设银行(张店支行营业室),118.048228,36.806518,共青团路95号钻石商务大厦9层西半层,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中国农业银行(淄博湖田分理处),118.125782,36.789846,湖田镇湖光路17号,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,中国银行(淄博金晶大道支行),118.059450,36.797797,新村东路2号,金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,中国银行(淄博经济开发区支行),118.046681,36.749524,南定镇张南路13号,金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,中国建设银行(淄博南京路支行),118.014253,36.830012,联通路190号,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中国农业银行股份有限公司淄博盛湖路支行,117.997802,36.844273,北京路与盛湖路交叉路口东北角盛湖大厦一楼,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,齐商银行(张店支行营业室),118.061823,36.808142,金晶大道130号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国工商银行(张店理工大学支行),118.006335,36.816142,人民西路石村南巷水晶街H座一层,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,中国工商银行(王舍支行),118.033401,36.789286,南西五路40号,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,齐商银行(世纪路支行),118.025867,36.813300,世纪路106号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国工商银行(华侨城支行),118.032373,36.846553,高新区中润华侨城北商业楼6号7,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,中国农业银行(淄博天津路支行),117.971116,36.827547,天津路和汇英路交叉路口西100米,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,中国工商银行(人民西路支行),118.034348,36.813874,人民西路43号甲1号,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,齐商银行(盛湖支行),118.002083,36.844188,盛湖路与丰泰路交叉口东北80米,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国邮政储蓄银行(淄博市张店区支行),118.004158,36.816305,重庆路与人民西路交叉口水晶街F-07号,金融保险服务;银行;中国邮政储蓄银行,山东省,淄博市,张店区
银行,中国农业银行(淄博马尚支行),118.031756,36.808476,共青团西路120号(时代大厦1层),金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,招商银行24小时自助银行(淄博分行营业部),118.050370,36.814095,人民西路12号,金融保险服务;自动提款机;招商银行ATM,山东省,淄博市,张店区
银行,齐商银行(中心路支行),118.057853,36.794566,中心路39号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,交通银行(淄博经济开发区支行),118.034982,36.761225,山泉路221甲22号1层、23号1-2层,金融保险服务;银行;交通银行,山东省,淄博市,张店区
银行,齐商银行(开发支行),118.054975,36.829783,柳泉路97号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国建设银行(淄博翡翠书院支行),118.009128,36.841076,盛湖路111号翡翠书院24号楼101号-105号,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中国建设银行(淄博华光路支行),118.047017,36.821203,华光路68号甲16号,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,齐商银行(城西支行),117.999133,36.816601,人民西路188号钱裕园小区甲1号楼,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国银行(淄博王舍路支行),118.029545,36.789493,王舍路237号国华大厦F1层,金融保险服务;银行;中国银行,山东省,淄博市,张店区
银行,齐商银行(世纪花园支行),118.016356,36.830052,联通路166号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,恒丰银行(淄博张店支行),118.061192,36.809171,金晶大道187甲26号-29号,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国农业银行(建筑陶瓷城支行),118.019237,36.785456,昌国路105号,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,东营银行(淄博分行),118.063547,36.819139,华光路28号云龙国际A座F1层,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,交通银行(淄博张店支行),117.991548,36.817434,人民西路222号中德国际大厦1层,金融保险服务;银行;交通银行,山东省,淄博市,张店区
银行,中国工商银行24小时自助银行(淄博高新支行营业室),118.059216,36.841578,柳泉路268号,金融保险服务;自动提款机;中国工商银行ATM,山东省,淄博市,张店区
银行,中国农业银行(淄博中心路分理处),118.059504,36.798483,金晶大道44号甲7号温州大厦青年家园F1层,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,中国建设银行(淄博经济开发区支行),118.048475,36.757425,花园路与青年公园路交叉口东北20米,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,交通银行(淄博高新区支行),118.057148,36.840432,柳泉路111号火炬广场102,金融保险服务;银行;交通银行,山东省,淄博市,张店区
银行,中国银行ATM(高新支行),118.056290,36.839130,中国银行淄博高新支行南门旁,金融保险服务;自动提款机;中国银行ATM,山东省,淄博市,张店区
银行,齐商银行(新城区支行营业部),118.019987,36.803111,新村西路177号汇美大厦F1层,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国建设银行(淄博华侨城支行),118.027207,36.838426,中润大道1号新玛特购物广场中润店F1层,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中国农业银行(丽景苑支行),118.037465,36.825341,科苑街道北西五路38号甲4号,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,中国农业银行(北京路分理处),117.990746,36.820039,宏程金融中心1楼心环东路2号,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,中国邮政储蓄银行(淄博市分行),118.040738,36.821586,华光路88号远通大厦F1层,金融保险服务;银行;中国邮政储蓄银行,山东省,淄博市,张店区
银行,济宁银行(淄博张店支行),118.042492,36.802640,新村西路158号凤阳大厦附楼一楼,金融保险服务;银行;银行,山东省,淄博市,张店区
银行,中国工商银行(淄博经开区支行),118.045571,36.753603,南定镇花园路23号,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,中国建设银行(金晶大道支行),118.065378,36.818012,金晶大道170号,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中国建设银行(淄博西七路支行),118.027461,36.808882,共青团西路138号金茂大厦A座F1层,金融保险服务;银行;中国建设银行,山东省,淄博市,张店区
银行,中国建设银行24小时自助银行(书香景园路),117.995672,36.799085,和平路154号,金融保险服务;自动提款机;中国建设银行ATM,山东省,淄博市,张店区
银行,中国工商银行24小时自助银行(淄博张店支行),118.062994,36.810619,金晶大道146号,金融保险服务;自动提款机;中国工商银行ATM,山东省,淄博市,张店区
银行,中国工商银行(淄博张店体坛支行),118.032116,36.803060,南西六路31号,金融保险服务;银行;中国工商银行,山东省,淄博市,张店区
银行,中国农业银行(淄博名尚银泰支行),118.036586,36.848351,鲁泰大道9号银泰·金街1F层,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,中国农业银行(淄博城西支行),117.999063,36.798880,和平路131号甲4号,金融保险服务;银行;中国农业银行,山东省,淄博市,张店区
银行,齐商银行(华侨城支行),118.033659,36.837805,中润大道5号5号甲1号,金融保险服务;银行;银行,山东省,淄博市,张店区
