类别,名称,经度,纬度,地址,类型,省,市,区县
医院,淄博世纪长城医院,118.030906,36.797646,南西六路66号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,高新区四宝山卫生院,118.099801,36.821775,宝鑫路37号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,牵电医院,118.077809,36.802433,共青团东路34号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博张店和济医院,118.042596,36.802696,新村西路158号(原凤阳大厦附楼6楼),医疗保健服务;医疗保健服务场所;医疗保健服务场所,山东省,淄博市,张店区
医院,张店区体育场街道东苑春萌社区卫生服务站,118.066761,36.804339,共青团东路25号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区凯瑞园社区卫生服务中心,118.020489,36.813996,人民西路167号(凯瑞碧园东门北60米),医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博大众医院,118.042193,36.798303,南西四路12号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,张店区体育场街道银都花园社区卫生服务站,118.072510,36.804737,东三路3-17-18号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区科苑街道梅苑社区卫生服务站,118.044618,36.825880,张桓路6-27号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博市中医医院和平路院区明医堂,118.037690,36.797474,[],医疗保健服务;综合医院;三级甲等医院,山东省,淄博市,张店区
医院,张店区科苑街道丰苑社区卫生服务站,118.043632,36.830451,科苑街道莲池中心街2甲号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区车站街道兴西社区卫生服务站,118.052207,36.796248,西二路西一街20号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,东大医院,118.070963,36.799470,商场东街22-18号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,张店区科苑街道黄金国际社区卫生服务站,118.029946,36.822670,华光路116号彩世界皮草广场F1,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,人东社区卫生服务站,118.063251,36.812016,人民东路1号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,齐赛园社区卫生服务站,118.026971,36.813954,人民西路61甲12(富尔玛家具城斜对面三楼),医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,常青园社区卫生服务站,118.037839,36.807755,共青团西路115号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,丽景苑社区卫生服务站,118.037820,36.825231,北西五路,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区世纪花园社区卫生服务中心,118.020039,36.834179,世纪花园中心公园1号机关医院,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区湖田街道杏园社区卫生服务站,118.066920,36.790243,东二路吉庆家园,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,高新区华瑞园社区卫生服务站,118.060433,36.833060,魏北路39号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区湖田街道杏园社区卫生服务中心,118.079770,36.784988,宝丰路41号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,科苑街道瑞景苑社区卫生服务站,118.035800,36.832894,北西六路莲泽苑17号楼,医疗保健服务;诊所;诊所,山东省,淄博市,张店区
医院,瑞苑社区卫生服务站,118.049638,36.818966,柳泉路西三巷58号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,机关医院,118.020029,36.834210,世纪花园幼儿园南门北270米,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,淄博市中心医院(西院区),117.975134,36.810239,上海路10号,医疗保健服务;综合医院;三级甲等医院,山东省,淄博市,张店区
医院,马尚中心卫生院,117.995696,36.819710,林泽花园南门东南50米,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,和平街道体坛社区卫生服务站,118.029184,36.800130,体坛小区花园1号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博市张店民康医院,118.081918,36.790369,洪沟路37号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,张店区公园街道小西湖社区卫生服务站,118.030799,36.808573,共青团西路122号甲3号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区车站街道新华社区卫生服务站,118.032400,36.796210,和平路27-5号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,北大医疗淄博医院,118.041309,36.755311,南定镇西山五街2号,医疗保健服务;综合医院;综合医院,山东省,淄博市,张店区
医院,张店区马尚镇江南豪庭恒生社区卫生服务站,118.017833,36.829203,联通路145号甲11号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张店区湖田街道洪沟一居社区卫生服务站,118.072083,36.786836,杏园东路58号1号楼20号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,王舍社区卫生服务站,118.039162,36.788861,王舍路70号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,张钢社区卫生服务站,118.067075,36.815875,金晶大道168号甲34号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
医院,淄博市第三人民医院华侨城社区卫生服务中心,118.031746,36.845182,鲁泰大道3号,医疗保健服务;综合医院;卫生院,山东省,淄博市,张店区
