类别,名称,经度,纬度,地址,类型,省,市,区县
公交站,市第十八中学(公交站),118.057528,36.816185,122路/K122路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,西二路农贸市场(公交站),118.054905,36.804210,122路/K122路;125路/K125路;132路/K132路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,淄博商厦(齐商银行)(公交站),118.059501,36.800363,150路/K150路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市委(公交站),118.045743,36.814124,102路/K102路;105路/K105路;108路/K108路;116路/K116路(北线);116路/K116路(南线);135路/K135路;92路/K92路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,钻石商务大厦(公交站),118.046496,36.807251,(停运)公交专线;137路/K137路;139路/K139路;157路/K157路;160路/K160路;7路/K7路;88路/K88路内环;88路/K88路外环;夜160路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,新村路金晶大道路口(公交站),118.056954,36.798474,122路/K122路;125路/K125路;126路/K126路;12路/K12路;89路/K89路;92路/K92路;96路/K96路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,大润发超市(公交站),118.041422,36.821142,121路/K121路;126路/K126路;136路/K136路;138路东线;138路西线;151路(王府井-淄川)直达/K151路;158路/K158路;181路/K181路;185路;2路/K2路;88路/K88路内环;88路/K88路外环;90路/K90路北线;90路/K90路南线;玉黛赏花灯定制公交,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,理工大学东校区(南门)(公交站),118.041022,36.807925,88路/K88路内环;夜160路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,人民东路小学(公交站),118.064995,36.810867,105路/K105路;127路/K127路;135路/K135路;136路/K136路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,东二路(公交站),118.070259,36.796677,122路/K122路;123路/K123路;150路/K150路;206路;20路;37路/K37路;5路;6路/K6路;82路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,华瑞园(公交站),118.056026,36.830856,102路/K102路;125路/K125路;126路/K126路;159路/K159路;251路/K251路;35路/K35路;51路西线;58路/K58路;定制公交赏花灯专线一;接站专线车,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,华夏商厦(公交站),118.051168,36.803310,138路东线;138路西线;222路/K222路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,市保安公司(公交站),118.063001,36.799795,136路/K136路;150路/K150路;222路/K222路;71路;71路(6点30分);7路/K7路;8路/K8路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
公交站,开元文化大世界(公交站),118.053972,36.802551,122路/K122路;125路/K125路;132路/K132路;138路东线;138路西线;222路/K222路,交通设施服务;公交车站;公交车站相关,山东省,淄博市,张店区
